pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	7.18575108124136e-09	2.2239899596442e-06	13	13	HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,NFYB	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	7.18575108124136e-09	2.2239899596442e-06	13	13	CD74,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	1.03005003136458e-07	2.12533656471558e-05	27	44	EPOR,IFNAR2,IFNG,IFNGR1,IFNGR2,IL12RB1,IL12RB2,IL15,IL15RA,IL23A,IL2RA,IL2RB,IL2RG,IL3RA,IL4R,IL6,IL6R,IL6ST,IL7,IL7R,JAK2,JAK3,PIM1,STAT1,STAT2,STAT4,STAT5A	KEGG_MEDICUS	Significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	4.13717012248163e-05	0.00458565417631363	7	7	B2M,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION	4.13717012248163e-05	0.00458565417631363	7	7	C1QA,C1QB,C1QC,C1R,C1S,C2,C4B	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	4.44489904004552e-05	0.00458565417631363	13	19	CD247,CD3D,CD3E,CD3G,FYN,ITPR3,LAT,LCK,LCP2,PLCG2,VAV1,VAV3,ZAP70	KEGG_MEDICUS	Significant
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY	7.57180530798859e-05	0.00669563926520705	10	13	ACE2,AGTR1,CCL2,CYBB,IL1B,IL6,MMP1,MMP3,NFKB1,TNF	KEGG_MEDICUS	Significant
KEGG_MEDICUS_PATHOGEN_KSHV_MIR1_2_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.000175036423344067	0.0135434432562472	6	6	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_P27_CELL_CYCLE_G1_S	0.000208505757890023	0.0143405626815471	10	14	CCNA2,CCNE1,CCNE2,CDKN1B,CUL1,E2F2,E2F3,RB1,SKP1,SKP2	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.000248636199806779	0.0147736031397773	9	12	B2M,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TAP1,TAP2	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	0.000262535758542085	0.0147736031397773	7	8	MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,PIF1	KEGG_MEDICUS	Significant
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE	0.000740412090258409	0.037968652344047	5	5	C1QA,C1QB,C1QC,C1R,C1S	KEGG_MEDICUS	Significant
KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00264	0.000797403037920211	0.037968652344047	8	11	CCNA2,CCNE1,CCNE2,CDKN1B,E2F2,E2F3,RB1,SKP2	KEGG_MEDICUS	Significant
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.000977024756059572	0.0431984517143482	6	7	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	0.00120781798418759	0.0498426221474744	13	24	CCNA2,CCNE1,CCNE2,CDC45,CDT1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,ORC6,TICRR	KEGG_MEDICUS	Significant
KEGG_MEDICUS_REFERENCE_NAD_BIOSYNTHESIS	0.00189493671414707	0.0733103641285647	8	12	AFMID,IDO1,KMO,KYNU,NMNAT1,NMNAT3,QPRT,TDO2	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_REFERENCE_P16_CELL_CYCLE_G1_S	0.00248586453995457	0.0877992905632203	7	10	CCND1,CCND2,CCND3,CDKN2A,E2F2,E2F3,RB1	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	0.00278692445484856	0.0877992905632203	9	15	CCNE1,CCNE2,CDKN1B,CUL1,E2F2,E2F3,RB1,SKP1,SKP2	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	0.00283081321028914	0.0877992905632203	12	23	IL15,IL15RA,IL21R,IL2RA,IL2RB,IL2RG,IL4R,IL7,IL7R,JAK3,STAT1,STAT5A	KEGG_MEDICUS	Not Significant
