pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance
HALLMARK_UV_RESPONSE_DN	0.0387136317825969	0.53259180096682	1	138	ERBB2	Hallmark	Not Significant
HALLMARK_UV_RESPONSE_UP	0.0431234477236929	0.53259180096682	1	154	STARD3	Hallmark	Not Significant
HALLMARK_APOPTOSIS	0.0444981911299341	0.53259180096682	1	159	ERBB2	Hallmark	Not Significant
HALLMARK_APICAL_JUNCTION	0.0529863755727356	0.53259180096682	1	190	GRB7	Hallmark	Not Significant
HALLMARK_KRAS_SIGNALING_DN	0.053259180096682	0.53259180096682	1	191	PNMT	Hallmark	Not Significant
HALLMARK_ADIPOGENESIS	1	1	0	192		Hallmark	Not Significant
HALLMARK_ALLOGRAFT_REJECTION	1	1	0	195		Hallmark	Not Significant
HALLMARK_ANDROGEN_RESPONSE	1	1	0	96		Hallmark	Not Significant
HALLMARK_ANGIOGENESIS	1	1	0	36		Hallmark	Not Significant
HALLMARK_APICAL_SURFACE	1	1	0	43		Hallmark	Not Significant
HALLMARK_BILE_ACID_METABOLISM	1	1	0	112		Hallmark	Not Significant
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1	1	0	72		Hallmark	Not Significant
HALLMARK_COAGULATION	1	1	0	137		Hallmark	Not Significant
HALLMARK_COMPLEMENT	1	1	0	198		Hallmark	Not Significant
HALLMARK_DNA_REPAIR	1	1	0	145		Hallmark	Not Significant
HALLMARK_E2F_TARGETS	1	1	0	195		Hallmark	Not Significant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	0	195		Hallmark	Not Significant
HALLMARK_ESTROGEN_RESPONSE_EARLY	1	1	0	190		Hallmark	Not Significant
HALLMARK_ESTROGEN_RESPONSE_LATE	1	1	0	192		Hallmark	Not Significant
HALLMARK_FATTY_ACID_METABOLISM	1	1	0	152		Hallmark	Not Significant
HALLMARK_G2M_CHECKPOINT	1	1	0	188		Hallmark	Not Significant
HALLMARK_GLYCOLYSIS	1	1	0	197		Hallmark	Not Significant
HALLMARK_HEDGEHOG_SIGNALING	1	1	0	35		Hallmark	Not Significant
HALLMARK_HEME_METABOLISM	1	1	0	189		Hallmark	Not Significant
HALLMARK_HYPOXIA	1	1	0	191		Hallmark	Not Significant
HALLMARK_IL2_STAT5_SIGNALING	1	1	0	194		Hallmark	Not Significant
HALLMARK_IL6_JAK_STAT3_SIGNALING	1	1	0	87		Hallmark	Not Significant
HALLMARK_INFLAMMATORY_RESPONSE	1	1	0	197		Hallmark	Not Significant
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	0	94		Hallmark	Not Significant
HALLMARK_INTERFERON_GAMMA_RESPONSE	1	1	0	194		Hallmark	Not Significant
HALLMARK_KRAS_SIGNALING_UP	1	1	0	191		Hallmark	Not Significant
HALLMARK_MITOTIC_SPINDLE	1	1	0	197		Hallmark	Not Significant
HALLMARK_MTORC1_SIGNALING	1	1	0	194		Hallmark	Not Significant
HALLMARK_MYC_TARGETS_V1	1	1	0	193		Hallmark	Not Significant
HALLMARK_MYC_TARGETS_V2	1	1	0	57		Hallmark	Not Significant
HALLMARK_MYOGENESIS	1	1	0	196		Hallmark	Not Significant
HALLMARK_NOTCH_SIGNALING	1	1	0	32		Hallmark	Not Significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	1	0	184		Hallmark	Not Significant
HALLMARK_P53_PATHWAY	1	1	0	191		Hallmark	Not Significant
HALLMARK_PANCREAS_BETA_CELLS	1	1	0	40		Hallmark	Not Significant
HALLMARK_PEROXISOME	1	1	0	104		Hallmark	Not Significant
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	1	0	104		Hallmark	Not Significant
HALLMARK_PROTEIN_SECRETION	1	1	0	94		Hallmark	Not Significant
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	1	0	47		Hallmark	Not Significant
HALLMARK_SPERMATOGENESIS	1	1	0	132		Hallmark	Not Significant
HALLMARK_TGF_BETA_SIGNALING	1	1	0	54		Hallmark	Not Significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1	1	0	197		Hallmark	Not Significant
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1	1	0	106		Hallmark	Not Significant
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	1	0	42		Hallmark	Not Significant
HALLMARK_XENOBIOTIC_METABOLISM	1	1	0	194		Hallmark	Not Significant
