pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance
HALLMARK_ESTROGEN_RESPONSE_EARLY	9.29585630006345e-15	4.64792815003173e-13	31	190	ABAT,ADCY9,ANXA9,AR,CA12,CCND1,DHRS2,EGR3,FOXC1,GJA1,GREB1,IL6ST,KCNK5,KRT15,MAST4,MLPH,MSMB,NRIP1,PDZK1,PEX11A,PGR,RASGRP1,RET,SCNN1A,SLC22A5,SLC39A6,SLC7A2,SYBU,TFF1,TFF3,THSD4	Hallmark	Significant
HALLMARK_ESTROGEN_RESPONSE_LATE	3.21142537444089e-12	8.02856343610222e-11	28	192	ACOX2,AGR2,ANXA9,CA12,CACNA2D2,CCND1,CHST8,COX6C,CPE,DHRS2,EGR3,FOXC1,IL6ST,IMPA2,KCNK5,NRIP1,PDZK1,PGR,PTGER3,RET,SCNN1A,SCUBE2,SLC22A5,SORD,TFF1,TFF3,TPSAB1,UGDH	Hallmark	Significant
HALLMARK_IL6_JAK_STAT3_SIGNALING	5.18717785178679e-05	0.000864529641964466	11	87	CD38,CXCL1,CXCL10,CXCL13,CXCL9,IL6ST,IRF1,MYD88,SOCS1,STAT1,TNFRSF21	Hallmark	Significant
HALLMARK_ALLOGRAFT_REJECTION	7.45897203430523e-05	0.000932371504288154	17	195	CCL13,CCL2,CCL5,CCR2,CXCL13,CXCL9,GZMB,HLA-DOB,HLA-E,IL27RA,IRF4,LCK,LYN,NCF4,SOCS1,STAT1,TAP1	Hallmark	Significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.000272358380847049	0.00272358380847049	16	197	ACKR3,CCL2,CCL5,CCND1,CFLAR,CXCL1,CXCL10,DUSP1,EGR3,IL6ST,IL7R,IRF1,MAP2K3,NINJ1,SLC16A6,TAP1	Hallmark	Significant
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.000701625520344315	0.00584687933620263	15	194	CCL2,CCL5,CD38,CXCL10,CXCL9,GBP4,IDO1,IRF1,IRF4,ITGB7,MYD88,PSMB9,SOCS1,STAT1,TAP1	Hallmark	Significant
HALLMARK_IL2_STAT5_SIGNALING	0.00201083916996704	0.014363136928336	14	194	AHNAK,ALCAM,BATF3,CCNE1,CD79B,CXCL10,ENPP1,GBP4,GLIPR2,ICOS,IRF4,SOCS1,TNFRSF21,TNFRSF8	Hallmark	Significant
HALLMARK_INFLAMMATORY_RESPONSE	0.00231771104162093	0.0144856940101308	14	197	CCL17,CCL2,CCL5,CX3CL1,CXCL10,CXCL9,IL7R,IRF1,LAMP3,LCK,LYN,MARCO,RASGRP1,SLC7A2	Hallmark	Significant
HALLMARK_KRAS_SIGNALING_DN	0.00471655040854433	0.0262030578252463	13	191	ADRA2C,CPEB3,GAMT,GPRC5C,KRT15,KRT5,PDCD1,PNMT,RGS11,SLC6A14,SOX10,TCL1A,TGM1	Hallmark	Significant
HALLMARK_UV_RESPONSE_UP	0.00631775514580415	0.0315887757290207	11	154	CCNE1,FEN1,HLA-F,IL6ST,IRF1,KLHDC3,LYN,NAT1,RASGRP1,RET,TAP1	Hallmark	Significant
HALLMARK_COMPLEMENT	0.0154161253608314	0.0700732970946881	12	198	CCL5,CXCL1,FCN1,GATA3,GZMB,IRF1,LCK,LYN,PFN1,PLAT,PSMB9,RASGRP1	Hallmark	Not Significant
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0217976809120868	0.0908236704670284	7	94	CXCL10,GBP4,HLA-C,IRF1,LAMP3,PSMB9,TAP1	Hallmark	Not Significant
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0352875709502572	0.135721426731759	7	104	DAPP1,LCK,MAP2K3,MAPK1,MYD88,PDK1,PFN1	Hallmark	Not Significant
HALLMARK_APICAL_SURFACE	0.0380976724060681	0.136063115735958	4	43	ATP8B1,CX3CL1,GATA3,LYN	Hallmark	Not Significant
HALLMARK_UV_RESPONSE_DN	0.0536434217967435	0.174203991907607	8	138	COL3A1,DUSP1,GJA1,IGFBP5,INPP4B,IRS1,MAGI2,NFIB	Hallmark	Not Significant
HALLMARK_APICAL_JUNCTION	0.0575755621058701	0.174203991907607	10	190	AMIGO2,CDH3,CX3CL1,GAMT,ICAM2,IRS1,ITGA2,ITGA9,LIMA1,PFN1	Hallmark	Not Significant
HALLMARK_KRAS_SIGNALING_UP	0.0592293572485863	0.174203991907607	10	191	ADAMDEC1,CPE,CXCL10,HSD11B1,IL7R,ITGA2,KIF5C,LCP1,PLAT,TSPAN1	Hallmark	Not Significant
HALLMARK_MTORC1_SIGNALING	0.0643753220406791	0.178820339001886	10	194	DAPP1,FDXR,IGFBP5,MAP2K3,PDK1,PHGDH,SORD,SSR1,STARD4,SYTL2	Hallmark	Not Significant
HALLMARK_APOPTOSIS	0.101750349883653	0.267764078641192	8	159	CCND1,CD38,CFLAR,EGR3,FDXR,IRF1,PLAT,TAP1	Hallmark	Not Significant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.127438916320739	0.318597290801847	9	195	COL3A1,CXCL1,FAP,FSTL3,GJA1,HTRA1,IL32,ITGA2,MATN3	Hallmark	Not Significant
HALLMARK_P53_PATHWAY	0.208537522764797	0.496517911344755	8	191	ABAT,CTSF,FDXR,LDHB,NINJ1,SOCS1,TAP1,WWP1	Hallmark	Not Significant
HALLMARK_BILE_ACID_METABOLISM	0.239752882544817	0.533846753113156	5	112	AR,FDXR,LCK,NUDT12,PEX11A	Hallmark	Not Significant
HALLMARK_NOTCH_SIGNALING	0.245569506432052	0.533846753113156	2	32	CCND1,SKP1	Hallmark	Not Significant
HALLMARK_ANGIOGENESIS	0.289941759916571	0.604045333159523	2	36	COL3A1,TNFRSF21	Hallmark	Not Significant
HALLMARK_PROTEIN_SECRETION	0.305196023172142	0.610392046344284	4	94	ANP32E,GALC,MAPK1,SCAMP1	Hallmark	Not Significant
HALLMARK_ANDROGEN_RESPONSE	0.31865770285917	0.612803274729174	4	96	CCND1,INPP4B,SORD,UBE2J1	Hallmark	Not Significant
HALLMARK_XENOBIOTIC_METABOLISM	0.354400522512225	0.622707824473905	7	194	ACOX2,ESR1,HSD11B1,NDRG2,NINJ1,NQO1,UGDH	Hallmark	Not Significant
HALLMARK_E2F_TARGETS	0.359246018178536	0.622707824473905	7	195	ANP32E,CCNE1,KIF2C,LBR,MELK,RFC2,TUBB	Hallmark	Not Significant
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.361170538194865	0.622707824473905	3	72	ALCAM,CPEB2,STARD4	Hallmark	Not Significant
HALLMARK_FATTY_ACID_METABOLISM	0.472255691314239	0.785098844685793	5	152	ACOT2,IL4I1,SERINC1,SLC22A5,UGDH	Hallmark	Not Significant
