pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance
KEGG_GRAFT_VERSUS_HOST_DISEASE	2.25588777547518e-13	4.19595126238384e-11	29	35	CD28,FAS,FASLG,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IFNG,IL1B,IL6,KLRC1,KLRD1,PRF1,TNF	KEGG_LEGACY	Significant
KEGG_TYPE_I_DIABETES_MELLITUS	2.84320545102245e-11	1.64824471230433e-09	30	41	CD28,CPE,FAS,FASLG,GAD1,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICA1,IFNG,IL1B,PRF1,PTPRN2,TNF	KEGG_LEGACY	Significant
KEGG_CHEMOKINE_SIGNALING_PATHWAY	3.03387740614282e-11	1.64824471230433e-09	84	183	ADCY1,ADCY5,ADCY6,ADCY7,ADCY9,ARRB1,ARRB2,CCL11,CCL13,CCL17,CCL18,CCL19,CCL2,CCL20,CCL23,CCL3,CCL3L3,CCL4,CCL5,CCL7,CCL8,CCR1,CCR2,CCR5,CCR7,CSK,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL13,CXCL16,CXCL9,CXCR3,CXCR4,CXCR5,CXCR6,DOCK2,ELMO1,FGR,FOXO3,GNB4,GNB5,GNG11,GNGT2,GRK4,GRK5,GRK6,HCK,IKBKB,ITK,JAK2,JAK3,LYN,MAPK1,MAPK3,NCF1,NFKB1,NFKBIA,NFKBIB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PLCB2,PREX1,PRKCB,PRKX,PTK2,RAC2,RASGRP2,SHC2,SOS2,STAT1,STAT2,TIAM1,TIAM2,VAV1,VAV3,WAS,WASL,XCL1,XCL2	KEGG_LEGACY	Significant
KEGG_ALLOGRAFT_REJECTION	3.54461228452544e-11	1.64824471230433e-09	27	35	CD28,CD40,FAS,FASLG,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IFNG,IL10,PRF1,TNF	KEGG_LEGACY	Significant
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	5.32057846296376e-10	1.70592047653095e-08	33	51	C1QA,C1QB,C1QC,C1R,C1S,C2,C3,C4B,C5,C6,CD28,CD40,FCGR2A,FCGR2B,FCGR3A,FCGR3B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNG,IL10,SNRPB,TNF,TRIM21	KEGG_LEGACY	Significant
KEGG_LEISHMANIA_INFECTION	5.50296927913211e-10	1.70592047653095e-08	40	68	C3,CYBA,FCGR2A,FCGR3A,FCGR3B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNG,IFNGR1,IFNGR2,IL10,IL1B,ITGA4,ITGAM,ITGB2,JAK2,MAPK1,MAPK3,MYD88,NCF1,NCF2,NCF4,NFKB1,NFKBIA,NFKBIB,PRKCB,STAT1,TLR2,TLR4,TNF	KEGG_LEGACY	Significant
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.98223857519946e-08	5.20966072423458e-07	57	122	BID,CASP3,CD244,CD247,CD48,CHP1,FAS,FASLG,FCER1G,FCGR3A,FCGR3B,FYN,GZMB,HCST,HLA-A,HLA-B,HLA-C,HLA-E,HLA-G,ICAM1,ICAM2,IFNAR2,IFNG,IFNGR1,IFNGR2,ITGAL,ITGB2,KLRC1,KLRC2,KLRD1,KLRK1,LAT,LCK,LCP2,MAPK1,MAPK3,NCR3,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PLCG2,PPP3CB,PRF1,PRKCB,RAC2,SH2D1A,SH2D1B,SHC2,SOS2,SYK,TNF,TNFSF10,TYROBP,VAV1,VAV3,ZAP70	KEGG_LEGACY	Significant
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	2.24071428999337e-08	5.20966072423458e-07	39	72	B2M,CD74,CD8A,CD8B,CIITA,CREB1,CTSB,CTSL,CTSS,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HSPA1A,HSPA2,IFI30,KLRC1,KLRC2,KLRC4,KLRD1,LGMN,NFYB,PSME2,TAP1,TAP2	KEGG_LEGACY	Significant
KEGG_AUTOIMMUNE_THYROID_DISEASE	1.99431278816241e-07	4.12157976220232e-06	27	45	CD28,CD40,CGA,CTLA4,FAS,FASLG,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IL10,PRF1	KEGG_LEGACY	Significant
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	9.39860942305554e-07	1.74814135268833e-05	26	45	CD28,CD40,CXCR4,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,ICOS,ICOSLG,IL10,IL15,IL15RA,IL6,ITGA4,ITGB7,TNFRSF13C,TNFRSF17,TNFSF13B	KEGG_LEGACY	Significant
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1.33921815014412e-06	2.26449614478915e-05	94	255	ACVR2B,BMPR1B,BMPR2,CCL11,CCL13,CCL17,CCL18,CCL19,CCL2,CCL20,CCL23,CCL3,CCL3L3,CCL4,CCL5,CCL7,CCL8,CCR1,CCR2,CCR5,CCR7,CD27,CD40,CD70,CSF1R,CSF2RA,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL13,CXCL16,CXCL9,CXCR3,CXCR4,CXCR5,CXCR6,EPOR,FAS,FASLG,GHR,IFNAR2,IFNG,IFNGR1,IFNGR2,IFNL2,IL10,IL10RA,IL10RB,IL12RB1,IL12RB2,IL15,IL15RA,IL17RA,IL18,IL18RAP,IL1B,IL20,IL21R,IL22RA2,IL23A,IL2RA,IL2RB,IL2RG,IL3RA,IL4R,IL6,IL6R,IL6ST,IL7,IL7R,KITLG,LTB,MET,OSM,PLEKHO2,PRLR,RELT,TNF,TNFRSF13C,TNFRSF17,TNFRSF1B,TNFRSF21,TNFRSF25,TNFRSF4,TNFRSF8,TNFRSF9,TNFSF10,TNFSF13B,TNFSF14,VEGFA,XCL1,XCL2	KEGG_LEGACY	Significant
KEGG_PRIMARY_IMMUNODEFICIENCY	4.58212099095342e-06	7.1022875359778e-05	21	35	ADA,BTK,CD19,CD3D,CD3E,CD40,CD79A,CD8A,CD8B,CIITA,ICOS,IGLL1,IL2RG,IL7R,JAK3,LCK,PTPRC,TAP1,TAP2,TNFRSF13C,ZAP70	KEGG_LEGACY	Significant
KEGG_ASTHMA	5.56070462554564e-06	7.95608507962683e-05	18	28	CCL11,CD40,FCER1G,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IL10,MS4A2,TNF	KEGG_LEGACY	Significant
KEGG_VIRAL_MYOCARDITIS	6.66772301019544e-06	8.85854628497394e-05	33	68	ACTB,BID,CASP3,CCND1,CD28,CD40,FYN,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,ITGAL,ITGB2,MYH11,PRF1,RAC2,SGCA,SGCD	KEGG_LEGACY	Significant
KEGG_CELL_ADHESION_MOLECULES_CAMS	8.46594725542551e-06	0.000104977745967276	52	126	ALCAM,CD2,CD274,CD28,CD40,CD6,CD8A,CD8B,CDH3,CLDN5,CTLA4,F11R,GLG1,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,ICAM2,ICAM3,ICOS,ICOSLG,ITGA4,ITGA6,ITGAL,ITGAM,ITGB2,ITGB7,NCAM2,NRCAM,OCLN,PDCD1,PTPRC,SDC1,SDC4,SELPLG,SPN,VCAM1	KEGG_LEGACY	Significant
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	2.62176513631817e-05	0.000304780197096987	29	60	BIRC3,CARD6,CARD9,CASP1,CASP5,CCL11,CCL13,CCL2,CCL5,CCL7,CCL8,CXCL1,HSP90B1,IKBKB,IL18,IL1B,IL6,MAPK1,MAPK3,NFKB1,NFKBIA,NFKBIB,NLRC4,NOD1,NOD2,PSTPIP1,RIPK2,TNF,TNFAIP3	KEGG_LEGACY	Significant
KEGG_HEMATOPOIETIC_CELL_LINEAGE	3.02592854815075e-05	0.000331072182327082	37	84	CD14,CD19,CD2,CD37,CD38,CD3D,CD3E,CD3G,CD44,CD5,CD7,CD8A,CD8B,CR2,CSF1R,CSF2RA,EPOR,GP1BA,HLA-DRA,HLA-DRB1,HLA-DRB5,IL1B,IL2RA,IL3RA,IL4R,IL6,IL6R,IL7,IL7R,ITGA4,ITGA6,ITGAM,ITGB3,KITLG,MS4A1,TFRC,TNF	KEGG_LEGACY	Significant
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	8.19128706667849e-05	0.00084643299689011	33	75	BTK,CARD11,CD19,CD72,CD79A,CD79B,CHP1,CR2,DAPP1,FCGR2B,IKBKB,INPP5D,LILRB3,LYN,MAPK1,MAPK3,NFKB1,NFKBIA,NFKBIB,NFKBIE,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PLCG2,PPP3CB,PRKCB,RAC2,RASGRP3,SOS2,SYK,VAV1,VAV3	KEGG_LEGACY	Significant
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.000313611567362321	0.00307009218575746	36	89	AMPH,ARPC2,ARPC5L,DOCK2,FCGR2A,FCGR2B,FCGR3A,GSN,HCK,INPP5D,LAT,LIMK2,LYN,MAPK1,MAPK3,MARCKS,MYO10,NCF1,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIP5K1B,PLCG2,PLD1,PRKCB,PRKCE,PTPRC,RAC2,SPHK2,SYK,VAV1,VAV3,WAS,WASF3,WASL	KEGG_LEGACY	Significant
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.000386399360957634	0.00357134968297495	41	106	CARD11,CBL,CD247,CD28,CD3D,CD3E,CD3G,CD8A,CD8B,CHP1,CTLA4,FYN,ICOS,IFNG,IKBKB,IL10,ITK,LAT,LCK,LCP2,MAP3K8,MAPK1,MAPK3,NFKB1,NFKBIA,NFKBIB,NFKBIE,PDCD1,PDPK1,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PPP3CB,PRKCQ,PTPRC,SOS2,TNF,VAV1,VAV3,ZAP70	KEGG_LEGACY	Significant
KEGG_ENDOCYTOSIS	0.00040321689969072	0.00357134968297495	62	177	ACAP1,AGAP1,AGAP2,AP2B1,ARAP2,ARFGAP3,ARRB1,ARRB2,CBL,CCR5,CHMP2A,CHMP4B,CSF1R,CXCR4,EEA1,EHD1,EPN2,ERBB3,ERBB4,FGFR3,GRK4,GRK5,GRK6,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,HSPA1A,HSPA2,IGF1R,IL2RA,IL2RB,IL2RG,MDM2,MET,NEDD4L,PARD6A,PARD6B,PDCD6IP,PIP5K1B,PLD1,PSD3,RAB11A,RAB11FIP1,RAB11FIP3,RAB11FIP5,RAB22A,RABEP1,RET,RNF41,SH3GLB2,TFRC,TSG101,USP8,VPS25,VPS28,VPS37B,VPS37D,VPS4B,WWP1	KEGG_LEGACY	Significant
KEGG_PROSTATE_CANCER	0.00119469141014619	0.010100572831236	34	88	AR,ATF4,BAD,BCL2,CCND1,CCNE1,CCNE2,CDKN1B,CREB1,CREB3L2,CREBBP,E2F2,E2F3,ERBB2,FGFR1,GSTP1,HSP90B1,IGF1R,IKBKB,MAPK1,MAPK3,MDM2,NFKB1,NFKBIA,PDGFD,PDPK1,PIK3CD,PIK3CG,PIK3R1,PIK3R2,RB1,SOS2,TCF7,TCF7L1	KEGG_LEGACY	Significant
KEGG_CELL_CYCLE	0.00162687484071169	0.0131564661031467	44	123	ANAPC13,BUB1,CCNA2,CCNB2,CCNB3,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNH,CDC20,CDC25A,CDC25B,CDC45,CDK7,CDKN1B,CDKN2A,CHEK1,CHEK2,CREBBP,CUL1,E2F2,E2F3,HDAC2,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MDM2,ORC6,PLK1,PTTG1,PTTG2,RB1,SKP1,SKP2,SMAD3,TFDP1,TTK,YWHAB,YWHAQ	KEGG_LEGACY	Significant
