pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.000314536749268287	0.103145077987228	4	12	HLA-C,HLA-E,HLA-F,TAP1	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_PATHOGEN_KSHV_MIR1_2_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.000486823591344945	0.103145077987228	3	6	HLA-C,HLA-E,HLA-F	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_REFERENCE_P27_CELL_CYCLE_G1_S	0.000606668453329838	0.103145077987228	4	14	CCNA2,CCNE1,E2F3,SKP1	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.000833158949816055	0.103145077987228	3	7	HLA-C,HLA-E,HLA-F	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES	0.000833158949816055	0.103145077987228	3	7	HLA-C,HLA-E,HLA-F	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00482	0.00191257942186382	0.197314443688951	3	9	CCNA2,CCNE1,E2F3	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00264	0.0035938806808569	0.278076517681302	3	11	CCNA2,CCNE1,E2F3	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_REFERENCE_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY	0.0035938806808569	0.278076517681302	3	11	ESR1,PGR,TFF1	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNA12_13_RHO_SIGNALING_PATHWAY	0.00595998296506979	0.401155399994316	3	13	CCL2,CCL5,CX3CL1	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_VARIANT_EML4_ALK_FUSION_KINASE_TO_PLCG_ERK_SIGNALING_PATHWAY	0.00741997783190795	0.401155399994316	3	14	CCND1,MAPK1,PLCG2	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_EGFR_TO_PLCG_ERK_SIGNALING_PATHWAY	0.00741997783190795	0.401155399994316	3	14	CCND1,MAPK1,PLCG2	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_HH_LIGAND_SECRETION	0.00829037981863039	0.401155399994316	2	5	HHAT,SCUBE2	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY	0.00907298158307014	0.401155399994316	3	15	CCND1,MAPK1,PLCG2	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	0.00907298158307014	0.401155399994316	3	15	CCNE1,E2F3,SKP1	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_REFERENCE_P4_PR_RAS_ERK_SIGNALING_PATHWAY	0.0109239402140311	0.443937985886887	3	16	CCND1,MAPK1,PGR	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_VARIANT_AMPLIFIED_CCND1_TO_CELL_CYCLE_G1_S	0.0121921579322731	0.443937985886887	2	6	CCND1,E2F3	KEGG_MEDICUS	Not Significant
KEGG_MEDICUS_VARIANT_AMPLIFIED_CCNE_TO_CELL_CYCLE_G1_S	0.0121921579322731	0.443937985886887	2	6	CCNE1,E2F3	KEGG_MEDICUS	Not Significant
