pathway	pval	padj	overlap	size	overlapGenes	Pathway_Set	Significance
HALLMARK_ALLOGRAFT_REJECTION	1.00236469086543e-29	5.01182345432714e-28	120	195	ABI1,B2M,BRCA1,C2,CAPG,CCL11,CCL13,CCL19,CCL2,CCL4,CCL5,CCL7,CCND2,CCND3,CCR1,CCR2,CCR5,CD2,CD247,CD28,CD3D,CD3E,CD3G,CD40,CD47,CD7,CD74,CD79A,CD8A,CD8B,CD96,CDKN2A,CFP,CRTAM,CSK,CTSS,CXCL13,CXCL9,CXCR3,DYRK3,EIF3J,ETS1,FAS,FASLG,FCGR2B,FGR,GBP2,GCNT1,GPR65,GZMA,GZMB,HCLS1,HIF1A,HLA-A,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DRA,HLA-E,HLA-G,ICAM1,ICOSLG,IFNAR2,IFNG,IFNGR1,IFNGR2,IGSF6,IKBKB,IL10,IL12RB1,IL15,IL16,IL18,IL18RAP,IL1B,IL27RA,IL2RA,IL2RB,IL2RG,IL4R,IL6,IL7,IRF4,IRF8,ITGAL,ITGB2,ITK,JAK2,KLRD1,LCK,LCP2,LTB,LY75,LYN,MAP4K1,MMP9,NCF4,PRF1,PRKCB,PSMB10,PTPRC,RIPK2,RPL9,SIT1,SOCS1,SRGN,STAT1,STAT4,TAP1,TAP2,TLR1,TLR2,TLR6,TNF,TRAT1,UBE2D1,WAS,ZAP70	Hallmark	Significant
HALLMARK_INTERFERON_GAMMA_RESPONSE	8.11931231346891e-26	2.02982807836723e-24	114	194	APOL6,B2M,BANK1,BATF2,C1R,C1S,CASP1,CASP3,CASP4,CCL2,CCL5,CCL7,CD274,CD38,CD40,CD69,CD74,CFH,CIITA,CMKLR1,CXCL10,CXCL11,CXCL9,EPSTI1,FAS,FGL2,FPR1,GBP4,GCH1,GPR18,GZMA,HIF1A,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,HLA-G,ICAM1,IDO1,IFI30,IFIH1,IFNAR2,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL4R,IL6,IL7,IRF1,IRF4,IRF8,ISG20,ISOC1,ITGB7,JAK2,KLRK1,LAP3,LCP2,MTHFD2,MX2,MYD88,NAMPT,NFKB1,NFKBIA,NLRC5,NMI,NOD1,NUP93,OAS2,OASL,P2RY14,PARP12,PELI1,PFKP,PIM1,PML,PNP,PSMB10,PSMB2,PSMB8,PSMB9,PSME2,RIPK2,RTP4,SAMD9L,SAMHD1,SECTM1,SERPING1,SLAMF7,SLC25A28,SOCS1,SOD2,SRI,ST3GAL5,STAT1,STAT2,STAT4,TAP1,TNFAIP2,TNFAIP3,TNFSF10,TRIM14,TRIM21,UBE2L6,UPP1,USP18,VAMP5,VCAM1,XAF1,XCL1,ZBP1	Hallmark	Significant
HALLMARK_ESTROGEN_RESPONSE_LATE	1.09721959241127e-17	1.82869932068545e-16	100	192	ABCA3,ABHD2,AGR2,ALDH3A2,AMFR,ANXA9,ARL3,ASCL1,ASS1,BAG1,BATF,BCL2,BLVRB,BTG3,CA12,CA2,CACNA2D2,CCND1,CD44,CDC20,CELSR2,CHPT1,CHST8,COX6C,CPE,CYP4F11,DLG5,DNAJC12,DUSP2,DYNLT3,ELOVL5,FGFR3,FKBP4,FLNB,FOXC1,GAL,GPER1,HR,HSPB8,ID2,IDH2,IGFBP4,IL6ST,IMPA2,ISG20,ITPK1,JAK2,KCNK5,KIF20A,KLK10,KRT19,LSR,MAPT,MDK,MOCS2,MYB,MYOF,NMU,NPY1R,NRIP1,NXT1,OVOL2,PDZK1,PERP,PGR,PLXNB1,PRLR,PRSS23,PTGER3,RABEP1,RBBP8,RET,S100A9,SCNN1A,SCUBE2,SERPINA3,SERPINA5,SGK1,SIAH2,SLC16A1,SLC22A5,SLC24A3,SLC27A2,SLC7A5,SORD,ST14,SULT2B1,TFF1,TFF3,TFPI2,TIAM1,TJP3,TOP2A,TPBG,TPSAB1,TRIM29,TSPAN13,UGDH,WFS1,ZFP36	Hallmark	Significant
HALLMARK_ESTROGEN_RESPONSE_EARLY	2.17681454898251e-15	2.72101818622814e-14	95	190	ABAT,ABCA3,ABHD2,ABLIM1,ADCY1,ADCY9,AMFR,ANXA9,AR,ARL3,ASB13,BAG1,BCL11B,BCL2,BHLHE40,BLVRB,CA12,CANT1,CCND1,CD44,CELSR1,CELSR2,CHPT1,DYNLT3,ELOVL2,ELOVL5,FKBP4,FLNB,FOXC1,GFRA1,GJA1,GREB1,HR,HSPB8,IGF1R,IGFBP4,IL6ST,ITPK1,JAK2,KCNK15,KCNK5,KLK10,KRT18,KRT19,LAD1,LRIG1,MAPT,MAST4,MED13L,MED24,MLPH,MPPED2,MREG,MSMB,MYB,MYOF,NPY1R,NRIP1,NXT1,OVOL2,PDZK1,PEX11A,PGR,PRSS23,RAB17,RBBP8,RET,RHOBTB3,RHOD,SCNN1A,SEC14L2,SIAH2,SLC16A1,SLC19A2,SLC1A1,SLC22A5,SLC24A3,SLC27A2,SLC39A6,SLC7A2,SLC7A5,SNX24,STC2,SULT2B1,SYBU,TFF1,TFF3,THSD4,TIAM1,TIPARP,TJP3,TPBG,TTC39A,UGCG,WFS1	Hallmark	Significant
HALLMARK_INFLAMMATORY_RESPONSE	1.03431887538792e-12	1.03431887538792e-11	92	197	ABI1,ADM,AQP9,C3AR1,CCL17,CCL2,CCL20,CCL5,CCL7,CCR7,CCRL2,CD14,CD40,CD48,CD69,CD70,CD82,CHST2,CMKLR1,CX3CL1,CXCL10,CXCL11,CXCL9,CXCR6,CYBB,EBI3,EDN1,EMP3,FPR1,GCH1,GP1BA,GPR132,GPR183,HIF1A,HPN,ICAM1,ICAM4,ICOSLG,IFNGR2,IL10,IL10RA,IL15,IL15RA,IL18,IL18RAP,IL1B,IL2RB,IL4R,IL6,IL7R,IRF1,ITGB3,KCNA3,KCNJ2,LAMP3,LCK,LCP2,LYN,MARCO,MET,NAMPT,NDP,NFKB1,NFKBIA,NMI,NOD2,OSM,P2RX4,PLAUR,PTAFR,PTGER4,PTGIR,RGS1,RGS16,RHOG,RIPK2,RNF144B,RTP4,SCN1B,SLAMF1,SLC1A2,SLC31A1,SLC31A2,SLC7A1,SLC7A2,SRI,TLR1,TLR2,TNFRSF1B,TNFRSF9,TNFSF10,TPBG	Hallmark	Significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.64620767332616e-10	1.3718397277718e-09	87	197	ATF3,B4GALT5,BCL2A1,BHLHE40,BIRC3,BTG3,CCL2,CCL20,CCL4,CCL5,CCND1,CCRL2,CD44,CD69,CD83,CEBPB,CFLAR,CXCL1,CXCL10,CXCL11,DRAM1,DUSP2,EDN1,EGR2,EHD1,FUT4,GCH1,GPR183,ICAM1,ICOSLG,ID2,IFIH1,IFNGR2,IL15RA,IL18,IL1B,IL23A,IL6,IL6ST,IL7R,IRF1,KYNU,LITAF,MAFF,MAP3K8,MARCKS,MCL1,NAMPT,NFIL3,NFKB1,NFKBIA,NFKBIE,NR4A2,PLAU,PLAUR,PLEK,PNRC1,PTGER4,RCAN1,RELB,RHOB,RIPK2,SAT1,SDC4,SERPINB8,SGK1,SLC16A6,SLC2A6,SMAD3,SNN,SOD2,SPSB1,STAT5A,TANK,TAP1,TIPARP,TLR2,TNF,TNFAIP2,TNFAIP3,TNFAIP8,TNFRSF9,TRAF1,TRIB1,VEGFA,ZC3H12A,ZFP36	Hallmark	Significant
HALLMARK_KRAS_SIGNALING_UP	6.96613789696359e-09	4.97581278354542e-08	81	191	ADAM17,ADAM8,ADAMDEC1,AKAP12,ANO1,BIRC3,C3AR1,CA2,CAB39L,CBL,CBR4,CBX8,CCL20,CCND2,CD37,CDADC1,CFH,CLEC4A,CMKLR1,CPE,CROT,CSF2RA,CTSS,CXCL10,CXCR4,DNMBP,DOCK2,DUSP6,ETS1,EVI5,FBXO4,FCER1G,GALNT3,GLRX,GNG11,GPRC5B,HSD11B1,ID2,IGF2,IKZF1,IL10RA,IL1B,IL2RG,IL7R,IRF8,ITGB2,KCNN4,KIF5C,LAPTM5,LAT2,LCP1,LY96,MAP3K1,MAP4K1,MMP9,MPZL2,MYCN,PLAT,PLAU,PLAUR,PRDM1,PSMB8,PTCD2,RGS16,SCN1B,SDCCAG8,SERPINA3,SLPI,SNAP25,SPARCL1,ST6GAL1,TLR8,TMEM158,TMEM176A,TMEM176B,TNFAIP3,TNFRSF1B,TRAF1,TRIB1,TSPAN1,TSPAN13	Hallmark	Significant
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.46688584526626e-07	9.16803653291414e-07	43	87	BAK1,CBL,CCL7,CCR1,CD14,CD38,CD44,CSF2RA,CXCL1,CXCL10,CXCL11,CXCL13,CXCL9,EBI3,FAS,IFNGR1,IFNGR2,IL10RB,IL12RB1,IL15RA,IL17RA,IL1B,IL2RA,IL2RG,IL3RA,IL4R,IL6,IL6ST,IL7,IRF1,ITGA4,ITGB3,LTB,MAP3K8,MYD88,PIM1,SOCS1,STAT1,STAT2,TLR2,TNF,TNFRSF1B,TNFRSF21	Hallmark	Significant
HALLMARK_IL2_STAT5_SIGNALING	1.99255357765632e-07	1.10697420980907e-06	78	194	ADAM19,AHNAK,ALCAM,BATF,BATF3,BCL2,BHLHE40,BMPR2,CA2,CAPG,CASP3,CCND2,CCND3,CCNE1,CD44,CD48,CD79B,CD83,CDC42SE2,CKAP4,COCH,CST7,CTLA4,CTSZ,CXCL10,DCPS,ENPP1,EOMES,F2RL2,FAH,FGL2,GALM,GBP4,GLIPR2,GPR65,GPX4,ICOS,IFNGR1,IGF1R,IGF2R,IL10,IL10RA,IL2RA,IL2RB,IL3RA,IL4R,IRF4,IRF8,ITGA6,LRIG1,LRRC8C,LTB,MAFF,MAP3K8,MAP6,NFIL3,ODC1,P2RX4,PIM1,PLIN2,PNP,PRKCH,RGS16,RHOB,RNH1,RRAGD,SMPDL3A,SOCS1,SOCS2,TIAM1,TNFRSF1B,TNFRSF21,TNFRSF4,TNFRSF8,TNFRSF9,TNFSF10,TRAF1,UCK2	Hallmark	Significant
HALLMARK_COMPLEMENT	2.37673250816349e-06	1.18836625408175e-05	76	198	APOBEC3F,APOBEC3G,APOC1,C1QA,C1QC,C1R,C1S,C2,C3,CA2,CASP1,CASP10,CASP3,CASP4,CASP5,CCL5,CEBPB,CFH,COL4A2,CR2,CTSB,CTSC,CTSH,CTSL,CTSS,CTSV,CXCL1,DUSP6,EHD1,F7,FCER1G,FCN1,FYN,GATA3,GNB4,GNGT2,GP1BA,GZMA,GZMB,GZMK,HSPA1A,IL6,IRF1,ITGAM,JAK2,KIF2A,KYNU,LAP3,LCK,LCP2,LGMN,LYN,MAFF,PFN1,PIK3CG,PIM1,PLA2G7,PLAT,PLAUR,PLEK,PREP,PSMB9,RHOG,S100A12,S100A13,S100A9,SERPING1,SPOCK2,TFPI2,TMPRSS6,TNFAIP3,USP14,USP8,WAS,XPNPEP1,ZEB1	Hallmark	Significant
